"Package","Time mean","RMSE min","RMSE median","RMSE D51","MAE median","WAE median"
"CaDENCE",228.521,3.3667,4.6075,1.2408,3.78875,16.5734
"h2o",127.9933,4.5704,4.64945,0.0790499999999996,3.76315,17.46895
"MachineShop",3.6589,3.5518,4.7747,1.2229,3.8485,15.30465
"monmlp",8.65,4.5442,4.7006,0.1564,3.801,15.31885
"nlsr",73.3358,3.5512,4.7025,1.1513,3.8006,16.72755
"nnet",3.4488,3.5499,4.7057,1.1558,3.7984,16.513
"radiant.model",0.0036,10.9572,10.9572,0,8.7685,42.6188
"rminer",10.289,3.3662,3.5612,0.195,2.86775,14.83
"traineR",3.2575,3.5488,4.5753,1.0265,3.72975,15.3863
"validann",145.0263,3.38,4.6239,1.2439,3.7511,16.3657
