"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.128,0.0264,0.0296,0.0032,0.0235,0.1101,1
"AMORE::train_ADAPTgdwm",0.178,0.0439,0.045,0.0011,0.0321,0.1788,2
"AMORE::train_BATCHgd",1.876,0.0177,0.0816,0.0639,0.0748,0.1692,3
"AMORE::train_BATCHgdwm",1.882,0.0173,0.0176,0.000300000000000002,0.0138,0.0586,4
"ANN2::neuralnetwork_adam",0.234,0.0183,0.0201,0.0018,0.0166,0.0579,5
"ANN2::neuralnetwork_rmsprop",0.226,0.025,0.0314,0.0064,0.0251,0.0945,6
"ANN2::neuralnetwork_sgd",0.222,0.0178,0.0185,0.000699999999999999,0.0147,0.0603,7
"automl::automl_train_manual_trainwgrad_adam",9.568,0.0277,0.0323,0.0046,0.025,0.1346,8
"automl::automl_train_manual_trainwgrad_RMSprop",8.55,0.0397,0.0504,0.0107,0.0399,0.2019,9
"automl::automl_train_manual_trainwpso",14.836,0.1029,0.1228,0.0199,0.0976,0.3922,10
"brnn::brnn_Gauss-Newton",0.238,0.0046,0.0052,0.0006,0.0043,0.0154,11
"CaDENCE::cadence.fit_optim",9.226,0.016,0.0863,0.0703,0.0442,0.364,12
"CaDENCE::cadence.fit_psoptim",12.056,0.095,0.1148,0.0198,0.0739,0.4058,13
"CaDENCE::cadence.fit_Rprop",22.516,0.085,0.1295,0.0445,0.0858,0.5842,14
"caret::avNNet_none",0.288,0.0123,0.0197,0.0074,0.0162,0.0727,15
"deepdive::deepnet_adam",0.768,0.0875,0.0875,0,0.0764,0.2699,16
"deepdive::deepnet_gradientDescent",7.642,0.1474,0.1474,0,0.1154,0.4581,17
"deepdive::deepnet_momentum",7.848,0.1363,0.1363,0,0.1061,0.486,18
"deepdive::deepnet_rmsProp",0.772,0.1287,0.1287,0,0.099,0.4133,19
"deepnet::nn.train_BP",0.664,0.0396,0.0967,0.0571,0.0838,0.2139,20
"elmNNRcpp::elm_train_extremeML",0,0.1516,0.1734,0.0218,0.1379,0.5055,21
"ELMR::OSelm_train.formula_extremeML",0.008,0.1677,0.1924,0.0247,0.1538,0.5716,22
"EnsembleBase::Regression.Batch.Fit_none",0.092,0.0245,0.0262,0.0017,0.0181,0.1321,23
"h2o::h2o.deeplearning_first-order",6.046,0.0225,0.0261,0.0036,0.0204,0.0902,24
"keras::fit_adadelta",29.424,0.0257,0.0267,0.001,0.0211,0.0948,25
"keras::fit_adagrad",14.836,0.0296,0.0842,0.0546,0.0747,0.2012,26
"keras::fit_adam",2.16,0.0636,0.0774,0.0138,0.0612,0.2686,27
"keras::fit_adamax",4.326,0.0326,0.0395,0.0069,0.0319,0.114,28
"keras::fit_nadam",2.482,0.0732,0.0992,0.026,0.0817,0.3144,29
"keras::fit_rmsprop",2.24,0.101,0.1147,0.0137,0.086,0.3822,30
"keras::fit_sgd",4.136,0.0365,0.0527,0.0162,0.0403,0.1922,31
"MachineShop::fit_none",0.106,0.0085,0.0116,0.0031,0.0092,0.036,32
"minpack.lm::nlsLM_none",0.38,0.1269,0.1269,0,0.1009,0.3714,33
"monmlp::monmlp.fit_BFGS",0.308,0.0132,0.0139,0.000699999999999999,0.011,0.0465,34
"monmlp::monmlp.fit_Nelder-Mead",1.084,0.1155,0.1219,0.00639999999999999,0.096,0.3777,35
"neuralnet::neuralnet_backprop",14.676,0.2348,0.2348,0,0.188,0.6346,36
"neuralnet::neuralnet_rprop-",5.058,0.0095,0.011,0.0015,0.0085,0.0412,37
"neuralnet::neuralnet_rprop+",5.862,0.0102,0.0106,0.000399999999999999,0.0083,0.0356,38
"neuralnet::neuralnet_sag",13.202,0.0806,0.2348,0.1542,0.188,0.6346,39
"neuralnet::neuralnet_slr",12.928,0.069,0.2348,0.1658,0.188,0.6346,40
"nlsr::nlxb_none",0.762,0.0045,0.0061,0.0016,0.0048,0.0196,41
"nnet::nnet_none",0.102,0.0091,0.012,0.0029,0.0094,0.0404,42
"qrnn::qrnn.fit_none",0.578,0.0105,0.0296,0.0191,0.019,0.133,43
"radiant.model::nn_none",0.122,0.0084,0.015,0.0066,0.0106,0.0664,44
"rminer::fit_none",0.286,0.0095,0.0112,0.0017,0.0088,0.0373,45
"RSNNS::mlp_BackpropBatch",6.886,0.0434,0.0851,0.0417,0.0754,0.2084,46
"RSNNS::mlp_BackpropChunk",0.732,0.0541,0.0657,0.0116,0.0532,0.2284,47
"RSNNS::mlp_BackpropMomentum",0.706,0.0558,0.0789,0.0231,0.0582,0.259,48
"RSNNS::mlp_BackpropWeightDecay",0.726,0.0429,0.0595,0.0166,0.0488,0.1832,49
"RSNNS::mlp_Quickprop",7.502,0.1664,0.1722,0.0058,0.1384,0.5541,50
"RSNNS::mlp_Rprop",0.706,0.0307,0.0452,0.0145,0.0374,0.166,51
"RSNNS::mlp_SCG",1.14,0.0202,0.0218,0.0016,0.017,0.0747,52
"RSNNS::mlp_Std_Backpropagation",0.694,0.042,0.09,0.048,0.0761,0.2168,53
"snnR::snnR_none",0.102,0.0457,0.0839,0.0382,0.0747,0.2113,54
"traineR::train.nnet_none",0.094,0.0112,0.0263,0.0151,0.0209,0.0954,55
"validann::ann_BFGS",2.5,0.0096,0.0688,0.0592,0.05,0.1513,56
"validann::ann_CG",25.592,0.0163,0.0184,0.0021,0.0145,0.058,57
"validann::ann_L-BFGS-B",2.702,0.0211,0.0256,0.0045,0.0208,0.0865,58
"validann::ann_Nelder-Mead",6.334,0.0991,0.1082,0.00910000000000001,0.082,0.3701,59
"validann::ann_SANN",0.204,0.1414,0.1485,0.0071,0.1149,0.5629,60
