pfa,time.score,RMSE.score,RMSEmed.score,RMSEd51.score,MAE.score,WAE.score
nlsr::nlxb_none,18,1,3,16,3,6
rminer::fit_none,12,2,1,6,1,1
nnet::nnet_none,3,3,2,17,2,3
validann::ann_BFGS,35,4,4,10,4,5
MachineShop::fit_none,6,5,9,22,9,7
traineR::train.nnet_none,4,6,5,15,6,2
radiant.model::nn_none,10,7,8,32,12,10
validann::ann_CG,60,8,6,10,5,4
monmlp::monmlp.fit_BFGS,26,9,10,18,9,11
CaDENCE::cadence.fit_optim,46,10,28,48,21,40
h2o::h2o.deeplearning_first-order,51,11,7,7,8,8
EnsembleBase::Regression.Batch.Fit_none,5,12,15,34,15,15
caret::avNNet_none,17,13,10,21,11,9
brnn::brnn_Gauss-Newton,8,14,12,9,13,12
validann::ann_L-BFGS-B,36,15,13,30,14,13
qrnn::qrnn.fit_none,28,16,14,25,7,36
RSNNS::mlp_Rprop,24,17,23,52,25,28
automl::automl_train_manual_trainwgrad_adam,50,18,20,35,16,20
deepnet::nn.train_BP,23,18,18,38,24,17
RSNNS::mlp_SCG,30,18,17,26,18,19
neuralnet::neuralnet_rprop+,19,21,23,40,23,24
neuralnet::neuralnet_rprop-,21,22,21,42,21,18
keras::fit_adamax,48,23,18,20,20,16
AMORE::train_ADAPTgdwm,16,24,22,29,16,26
minpack.lm::nlsLM_none,15,24,16,5,19,14
automl::automl_train_manual_trainwgrad_RMSprop,47,26,31,50,29,39
RSNNS::mlp_Std_Backpropagation,22,27,32,31,31,36
ANN2::neuralnetwork_rmsprop,14,28,25,33,27,23
RSNNS::mlp_BackpropChunk,26,29,34,41,32,34
RSNNS::mlp_BackpropMomentum,25,30,35,39,35,30
neuralnet::neuralnet_slr,31,31,39,37,39,46
RSNNS::mlp_BackpropWeightDecay,29,31,30,43,33,31
ANN2::neuralnetwork_adam,13,33,27,27,28,21
keras::fit_adam,42,34,28,44,30,25
AMORE::train_ADAPTgd,9,35,25,8,26,21
keras::fit_nadam,44,36,39,58,40,41
keras::fit_adagrad,58,37,43,53,42,35
neuralnet::neuralnet_sag,41,38,49,59,47,52
AMORE::train_BATCHgdwm,40,39,33,14,37,27
keras::fit_adadelta,59,40,35,19,34,33
AMORE::train_BATCHgd,39,41,38,24,42,31
ANN2::neuralnetwork_sgd,11,42,37,22,36,29
automl::automl_train_manual_trainwpso,57,43,41,49,41,38
keras::fit_sgd,48,44,45,47,45,43
validann::ann_Nelder-Mead,55,45,44,45,46,42
deepdive::deepnet_adam,32,46,42,1,38,44
monmlp::monmlp.fit_Nelder-Mead,32,47,47,45,44,47
snnR::snnR_none,7,48,49,13,50,48
RSNNS::mlp_BackpropBatch,43,49,48,27,50,48
neuralnet::neuralnet_backprop,37,50,51,10,49,45
CaDENCE::cadence.fit_Rprop,56,51,54,60,52,58
keras::fit_rmsprop,37,52,55,57,55,54
deepdive::deepnet_rmsProp,34,53,46,4,48,50
CaDENCE::cadence.fit_psoptim,54,54,56,56,54,56
validann::ann_SANN,20,55,53,51,56,55
deepdive::deepnet_momentum,53,56,52,3,53,51
RSNNS::mlp_Quickprop,45,57,58,36,58,57
deepdive::deepnet_gradientDescent,52,58,57,2,57,53
elmNNRcpp::elm_train_extremeML,1,59,59,55,59,59
ELMR::OSelm_train.formula_extremeML,2,60,60,53,60,60
